#GaiaDR3-ULENS,MF,ML,err_ML_pl,err_ML_mn,DL,err_DL_pl,err_DL_pl,lens_mag,err_lens_mag_pl,err_lens_mag_mn,blend_mag,err_blend_pl,err_blend_mn,theta_e,err_theta_e_pl,err_theta_e_mn,max_astro_disp,err_max_astro_disp_pl,err_max_astro_disp_mn,lens_prop_mot,err_lens_prop_mot_pl,err_lens_prop_mot_mn,transverse_vel,err_vt_pl,err_vt_mn,dark_lens_prob
103-G+,K2001,0.93,0.74,0.41,4.64,1.71,1.41,20.34,3.66,2.84,25.00,0.00,4.72,0.84,0.34,0.30,0.30,0.42,0.19,2.52,0.37,0.34,55.36,28.66,24.42,83.63
103-G+,M2021,1.91,4.86,0.86,4.81,1.31,1.34,16.93,2.80,2.22,25.00,0.00,4.72,1.00,0.34,0.28,0.36,0.48,0.26,1.67,0.38,0.32,38.07,19.06,17.99,97.56
103-G+,M^-1,1.5,82.38,0.75,4.79,1.31,1.44,17.87,3.19,2.84,25.00,0.00,4.72,0.98,0.35,0.30,0.35,0.47,0.24,1.81,0.38,0.34,41.03,19.86,19.96,94.48
103-G-,K2001,0.91,0.73,0.40,4.63,1.76,1.48,20.45,3.56,2.90,25.00,0.00,4.97,0.84,0.35,0.31,0.30,0.42,0.19,2.55,0.38,0.35,55.91,29.64,25.42,83.12
103-G-,M2021,1.97,5.61,0.93,4.77,1.34,1.31,16.79,2.95,2.26,25.00,0.00,4.97,1.02,0.34,0.31,0.36,0.48,0.25,1.56,0.38,0.35,35.26,18.43,17.51,97.52
103-G-,M^-1,1.6,23.14,0.79,4.76,1.37,1.39,17.77,3.28,2.93,25.00,0.00,4.97,0.99,0.33,0.30,0.35,0.46,0.24,1.81,0.36,0.34,40.90,19.98,19.69,94.43
155-G1-,K2001,0.820.55,0.36,0.93,0.47,0.30,16.57,4.27,3.72,20.02,0.16,0.13,2.29,1.51,1.02,0.81,1.35,0.45,13.57,1.52,1.04,59.67,36.70,24.18,78.47
155-G1-,M2021,1.260.45,0.42,0.70,0.28,0.15,13.39,3.00,1.67,20.02,0.16,0.13,3.48,1.08,1.18,1.23,1.61,0.81,19.71,1.09,1.20,65.19,30.22,18.16,97.41
155-G1-,M^-1,1.130.50,0.48,0.75,0.38,0.19,14.12,4.42,2.21,20.02,0.16,0.13,3.12,1.29,1.33,1.10,1.56,0.63,17.80,1.30,1.34,63.65,37.01,21.10,91.21
155-G2-,K2001,1.400.68,0.47,2.45,0.49,0.47,16.44,2.26,1.96,19.88,0.11,0.10,1.46,0.51,0.39,0.52,0.70,0.38,7.69,0.54,0.43,89.27,24.33,22.24,92.29
155-G2-,M2021,1.790.81,0.56,2.38,0.51,0.49,15.35,1.76,1.66,19.88,0.11,0.10,1.68,0.56,0.41,0.60,0.79,0.45,8.24,0.59,0.45,93.00,26.70,24.09,98.78
155-G2-,M^-1,1.730.80,0.57,2.39,0.51,0.48,15.52,1.87,1.76,19.88,0.11,0.10,1.65,0.56,0.42,0.58,0.78,0.44,8.13,0.59,0.46,92.04,26.36,23.86,97.54
212-GSA+,K2001,0.920.82,0.42,8.23,0.20,0.58,22.43,3.53,2.98,25.00,0.00,0.00,0.41,0.20,0.13,0.15,0.22,0.10,7.71,0.28,0.24,300.67,18.28,30.41,76.06
212-GSA+,M2021,2.312.21,1.23,7.90,0.56,1.27,17.94,3.49,1.79,25.00,0.00,0.00,0.69,0.47,0.25,0.24,0.41,0.16,7.92,0.51,0.32,296.55,40.20,59.69,98.07
212-GSA+,M^-1,1.802.29,0.93,8.09,0.34,1.35,19.24,3.57,2.85,25.00,0.00,0.00,0.60,0.49,0.22,0.21,0.39,0.14,7.94,0.53,0.29,304.49,33.31,61.94,93.12
212-GSA-,K2001,1.120.84,0.50,8.25,0.24,0.86,21.34,3.52,2.70,25.00,0.00,0.00,0.46,0.20,0.15,0.16,0.23,0.11,7.89,0.28,0.25,308.67,19.88,41.91,84.96
212-GSA-,M2021,1.941.97,0.81,8.06,0.45,1.50,18.68,2.61,2.23,25.00,0.00,0.00,0.64,0.49,0.20,0.23,0.40,0.16,8.01,0.53,0.28,305.82,37.09,67.56,98.72
212-GSA-,M^-1,1.751.86,0.80,8.14,0.34,1.46,19.46,2.72,2.79,25.00,0.00,0.00,0.59,0.46,0.19,0.21,0.37,0.14,8.18,0.50,0.28,315.64,32.55,67.40,95.84
